time,object,type,parameter,alteration
25,1044705957,neuron,dV,-0.004627979999999987
25,1044705957,neuron,VVal,-65.0
50,1044705957,neuron,dV,0.24594808543564703
50,1044705957,neuron,VVal,-65.00462798
75,1044705957,neuron,dV,0.2422376897961602
75,1044705957,neuron,VVal,-64.75867989456435
100,1044705957,neuron,dV,0.23877656951183548
100,1044705957,neuron,VVal,-64.5164422047682
125,1044705957,neuron,dV,0.23554377198958112
125,1044705957,neuron,VVal,-64.27766563525635
150,1044705957,neuron,dV,0.23252336128859785
150,1044705957,neuron,VVal,-64.04212186326677
175,1044705957,neuron,dV,0.2297032669428515
175,1044705957,neuron,VVal,-63.80959850197817
200,1044705957,neuron,VVal,-63.57989523503532
200,1044705957,neuron,dV,0.22707443789728027
225,1044705957,neuron,dV,0.22463021606885858
225,1044705957,neuron,VVal,-63.352820797138044
250,1044705957,neuron,dV,0.2223658698224242
250,1044705957,neuron,VVal,-63.128190581069184
275,1044705957,neuron,VVal,-62.90582471124676
275,1044705957,neuron,dV,0.22027824524452502
300,1044705957,neuron,dV,0.2183655052371111
300,1044705957,neuron,VVal,-62.685546466002236
325,1044705957,neuron,dV,0.21662693491780113
325,1044705957,neuron,VVal,-62.46718096076513
350,1044705957,neuron,dV,0.2150627977792132
350,1044705957,neuron,VVal,-62.25055402584733
375,1044705957,neuron,dV,0.21367423130917437
375,1044705957,neuron,VVal,-62.03549122806812
400,1044705957,neuron,dV,0.2124631738335721
400,1044705957,neuron,VVal,-61.82181699675894
425,1044705957,neuron,dV,0.21143231657267433
425,1044705957,neuron,VVal,-61.60935382292537
450,1044705957,neuron,dV,0.2105850765463121
450,1044705957,neuron,VVal,-61.397921506352695
475,1044705957,neuron,dV,0.20992558719448337
475,1044705957,neuron,VVal,-61.187336429806386
500,1044705957,neuron,dV,0.2094587045178186
500,1044705957,neuron,VVal,-60.9774108426119
525,1044705957,neuron,dV,0.2091900272723436
525,1044705957,neuron,VVal,-60.76795213809408
550,1044705957,neuron,dV,0.20912593033660076
550,1044705957,neuron,VVal,-60.55876211082174
575,1044705957,neuron,dV,0.20927361085157792
575,1044705957,neuron,VVal,-60.34963618048514
600,1044705957,neuron,dV,0.2096411471488495
600,1044705957,neuron,VVal,-60.14036256963357
625,1044705957,neuron,dV,0.2102375708559411
625,1044705957,neuron,VVal,-59.930721422484716
650,1044705957,neuron,dV,0.21107295292108122
650,1044705957,neuron,VVal,-59.72048385162878
675,1044705957,neuron,dV,0.21215850464975816
675,1044705957,neuron,VVal,-59.5094108987077
700,1044705957,neuron,dV,0.21350669520850152
700,1044705957,neuron,VVal,-59.29725239405794
725,1044705957,neuron,dV,0.21513138744185728
725,1044705957,neuron,VVal,-59.08374569884944
750,1044705957,neuron,dV,0.21704799428160937
750,1044705957,neuron,VVal,-58.86861431140758
775,1044705957,neuron,dV,0.2192736585188505
775,1044705957,neuron,VVal,-58.651566317125976
800,1044705957,neuron,dV,0.22182745927734315
800,1044705957,neuron,VVal,-58.432292658607125
825,1044705957,neuron,dV,0.22473064919132046
825,1044705957,neuron,VVal,-58.21046519932978
850,1044705957,neuron,dV,0.22800692707683787
850,1044705957,neuron,VVal,-57.98573455013846
875,1044705957,neuron,dV,0.2316827518224075
875,1044705957,neuron,VVal,-57.75772762306162
900,1044705957,neuron,dV,0.2357877043478737
900,1044705957,neuron,VVal,-57.526044871239215
925,1044705957,neuron,dV,0.24035490583460783
925,1044705957,neuron,VVal,-57.290257166891344
950,1044705957,neuron,dV,0.24542150207017116
950,1044705957,neuron,VVal,-57.04990226105674
975,1044705957,neuron,dV,0.25102922574532033
975,1044705957,neuron,VVal,-56.804480758986564
1000,1044705957,neuron,dV,0.25722505097690535
1000,1044705957,neuron,VVal,-56.553451533241244
1025,1044705957,neuron,dV,0.264061957315543
1025,1044705957,neuron,VVal,-56.29622648226434
1050,1044705957,neuron,dV,0.2715998241695227
1050,1044705957,neuron,VVal,-56.0321645249488
1075,1044705957,neuron,dV,0.2799064811108889
1075,1044705957,neuron,VVal,-55.76056470077928
1100,1044705957,neuron,dV,0.28905894514864583
1100,1044705957,neuron,VVal,-55.480658219668385
1125,1044705957,neuron,dV,0.2991448830420531
1125,1044705957,neuron,VVal,-55.19159927451974
1150,1044705957,neuron,dV,0.3102643454488655
1150,1044705957,neuron,VVal,-54.892454391477685
1175,1044705957,neuron,dV,0.322531830628238
1175,1044705957,neuron,VVal,-54.58219004602882
1200,1044705957,neuron,dV,0.33607874915062036
1200,1044705957,neuron,VVal,-54.259658215400584
1225,1044705957,neuron,dV,0.35105637838869724
1225,1044705957,neuron,VVal,-53.92357946624996
1250,1044705957,neuron,dV,0.3676394174854771
1250,1044705957,neuron,VVal,-53.57252308786126
1275,1044705957,neuron,dV,0.38603028132806116
1275,1044705957,neuron,VVal,-53.204883670375786
1300,1044705957,neuron,dV,0.4064643074957694
1300,1044705957,neuron,VVal,-52.818853389047725
1325,1044705957,neuron,dV,0.4292160953957592
1325,1044705957,neuron,VVal,-52.41238908155196
1350,1044705957,neuron,dV,0.454607254682381
1350,1044705957,neuron,VVal,-51.9831729861562
1375,1044705957,neuron,dV,0.48301591421552575
1375,1044705957,neuron,VVal,-51.52856573147382
1400,1044705957,neuron,dV,0.5148884378725406
1400,1044705957,neuron,VVal,-51.04554981725829
1425,1044705957,neuron,dV,0.5507539152794764
1425,1044705957,neuron,VVal,-50.53066137938575
1450,1044705957,neuron,dV,0.5912421510468558
1450,1044705957,neuron,VVal,-49.97990746410627
1450,1044705957,neuron,spike,+
1475,1044705957,neuron,dV,0.6371060736758696
1475,1044705957,neuron,VVal,-49.38866531305941
1500,1044705957,neuron,dV,0.6892497339439082
1500,1044705957,neuron,VVal,-48.751559239383546
1525,1044705957,neuron,dV,0.7487633705417692
1525,1044705957,neuron,VVal,-48.062309505439636
1550,1044705957,neuron,dV,0.8169673921696878
1550,1044705957,neuron,VVal,-47.31354613489787
1575,1044705957,neuron,dV,0.8954675531212907
1575,1044705957,neuron,VVal,-46.49657874272818
1600,1044705957,neuron,dV,0.9862240509029667
1600,1044705957,neuron,VVal,-45.60111118960689
1625,1044705957,neuron,dV,1.0916376632644818
1625,1044705957,neuron,VVal,-44.61488713870392
1650,1044705957,neuron,dV,1.2146561743760536
1650,1044705957,neuron,VVal,-43.52324947543944
1675,1044705957,neuron,dV,1.3589038137912912
1675,1044705957,neuron,VVal,-42.30859330106339
1700,1044705957,neuron,dV,1.5288344510097849
1700,1044705957,neuron,VVal,-40.949689487272096
1725,1044705957,neuron,dV,1.7299043250445292
1725,1044705957,neuron,VVal,-39.42085503626231
1750,1044705957,neuron,dV,1.9687492841420706
1750,1044705957,neuron,VVal,-37.69095071121778
1775,1044705957,neuron,dV,2.253329639308697
1775,1044705957,neuron,VVal,-35.72220142707571
1800,1044705957,neuron,dV,2.592963456260821
1800,1044705957,neuron,VVal,-33.468871787767014
1825,1044705957,neuron,dV,2.998090164291794
1825,1044705957,neuron,VVal,-30.875908331506192
1850,1044705957,neuron,dV,3.4794635749821645
1850,1044705957,neuron,VVal,-27.8778181672144
1875,1044705957,neuron,dV,4.0462256128460785
1875,1044705957,neuron,VVal,-24.398354592232234
1900,1044705957,neuron,dV,4.701915408765399
1900,1044705957,neuron,VVal,-20.352128979386155
1925,1044705957,neuron,dV,5.4369553635528245
1925,1044705957,neuron,VVal,-15.650213570620757
1950,1044705957,neuron,dV,6.215918834519803
1950,1044705957,neuron,VVal,-10.213258207067932
1975,1044705957,neuron,dV,6.959309872046447
1975,1044705957,neuron,VVal,-3.9973393725481294
2000,1044705957,neuron,dV,7.525596837091712
2000,1044705957,neuron,VVal,2.9619704994983174
2025,1044705957,neuron,dV,7.712380941613708
2025,1044705957,neuron,VVal,10.487567336590029
2050,1044705957,neuron,dV,7.3093247747957015
2050,1044705957,neuron,VVal,18.19994827820374
2075,1044705957,neuron,dV,6.221474744043627
2075,1044705957,neuron,VVal,25.50927305299944
2100,1044705957,neuron,dV,4.605133662648433
2100,1044705957,neuron,VVal,31.730747797043065
2125,1044705957,neuron,dV,2.865619693258941
2125,1044705957,neuron,VVal,36.3358814596915
2150,1044705957,neuron,dV,1.4335229603829793
2150,1044705957,neuron,VVal,39.20150115295044
2175,1044705957,neuron,dV,0.5011173689780456
2175,1044705957,neuron,VVal,40.63502411333342
2200,1044705957,neuron,dV,-0.010888339253585145
2200,1044705957,neuron,VVal,41.136141482311466
2225,1044705957,neuron,dV,-0.28042936290077497
2225,1044705957,neuron,VVal,41.12525314305788
2250,1044705957,neuron,dV,-0.439947583044112
